scenario,weight_model,base_rate,pity_threshold,carryover,token_threshold,any_target_acquisition_rate,copy_goal_completion_rate,avg_completed_goal_banners,avg_target_obtained_banners,avg_total_copies,avg_total_pulls,pity_activation_rate,token_redemption_rate,avg_wasted_progress,avg_frustration_score,mean_churn_propensity,weighted_churn_propensity,observed_churn_rate,avg_dupe_utility,avg_dupe_gain
A_baseline_hard_pity,equal_weight,0.008,330,False,0,0.705,0.49666666666666665,1.07,1.9963333333333333,3.705,462.2866666666667,0.03166666666666667,0.0,0.24650066979316979,0.4608162560340334,0.4596607911359077,0.45966079113590774,0.956,0.4531992023953778,0.4531992023953778
A_baseline_hard_pity,f2p_heavy,0.008,330,False,0,0.705,0.49666666666666665,1.07,1.9963333333333333,3.705,462.2866666666667,0.03166666666666667,0.0,0.24650066979316979,0.4608162560340334,0.4596607911359077,0.5711438777072276,0.956,0.4531992023953778,0.4531992023953778
A_baseline_hard_pity,spender_focused,0.008,330,False,0,0.705,0.49666666666666665,1.07,1.9963333333333333,3.705,462.2866666666667,0.03166666666666667,0.0,0.24650066979316979,0.4608162560340334,0.4596607911359077,0.4520198366283542,0.956,0.4531992023953778,0.4531992023953778
B_lower_hard_pity,equal_weight,0.008,250,False,0,0.735,0.52,1.135,2.174,4.095,490.929,0.136,0.0,0.288192673015873,0.4598317591489034,0.44303798868578464,0.4430379886857846,0.947,0.4801738645339754,0.4801738645339754
B_lower_hard_pity,f2p_heavy,0.008,250,False,0,0.735,0.52,1.135,2.174,4.095,490.929,0.136,0.0,0.288192673015873,0.4598317591489034,0.44303798868578464,0.5746032721092915,0.947,0.4801738645339754,0.4801738645339754
B_lower_hard_pity,spender_focused,0.008,250,False,0,0.735,0.52,1.135,2.174,4.095,490.929,0.136,0.0,0.288192673015873,0.4598317591489034,0.44303798868578464,0.43279773602777727,0.947,0.4801738645339754,0.4801738645339754
C_improved_base_rate,equal_weight,0.012,330,False,0,0.8076666666666666,0.7066666666666667,2.2066666666666666,3.16,6.782666666666667,567.0253333333334,0.014666666666666666,0.0,0.16660078643578644,0.3656510824527246,0.3411438404230848,0.3411438404230848,0.8543333333333333,0.6026046723546538,0.6026046723546538
C_improved_base_rate,f2p_heavy,0.012,330,False,0,0.8076666666666666,0.7066666666666667,2.2066666666666666,3.16,6.782666666666667,567.0253333333334,0.014666666666666666,0.0,0.16660078643578644,0.3656510824527246,0.3411438404230848,0.4778577798340025,0.8543333333333333,0.6026046723546538,0.6026046723546538
C_improved_base_rate,spender_focused,0.012,330,False,0,0.8076666666666666,0.7066666666666667,2.2066666666666666,3.16,6.782666666666667,567.0253333333334,0.014666666666666666,0.0,0.16660078643578644,0.3656510824527246,0.3411438404230848,0.3113714837575291,0.8543333333333333,0.6026046723546538,0.6026046723546538
D_carryover_pity,equal_weight,0.008,330,True,0,0.7416666666666667,0.5636666666666666,1.3306666666666667,2.6576666666666666,5.142333333333333,618.0646666666667,0.16433333333333333,0.0,0.0,0.40897319018104256,0.35985121072768955,0.3598512107276895,0.88,0.48406422983434155,0.48406422983434155
D_carryover_pity,f2p_heavy,0.008,330,True,0,0.7416666666666667,0.5636666666666666,1.3306666666666667,2.6576666666666666,5.142333333333333,618.0646666666667,0.16433333333333333,0.0,0.0,0.40897319018104256,0.35985121072768955,0.5148584293783843,0.88,0.48406422983434155,0.48406422983434155
D_carryover_pity,spender_focused,0.008,330,True,0,0.7416666666666667,0.5636666666666666,1.3306666666666667,2.6576666666666666,5.142333333333333,618.0646666666667,0.16433333333333333,0.0,0.0,0.40897319018104256,0.35985121072768955,0.3478242718019487,0.88,0.48406422983434155,0.48406422983434155
E_token_spark_250,equal_weight,0.008,330,False,250,0.7353333333333333,0.6573333333333333,2.06,3.3233333333333333,7.725666666666666,687.9973333333334,0.0,0.5363333333333333,0.1785357046657047,0.4009727121068372,0.34160031837682286,0.34160031837682286,0.7673333333333333,0.5425286488334676,0.5425286488334676
E_token_spark_250,f2p_heavy,0.008,330,False,250,0.7353333333333333,0.6573333333333333,2.06,3.3233333333333333,7.725666666666666,687.9973333333334,0.0,0.5363333333333333,0.1785357046657047,0.4009727121068372,0.34160031837682286,0.522394486183693,0.7673333333333333,0.5425286488334676,0.5425286488334676
E_token_spark_250,spender_focused,0.008,330,False,250,0.7353333333333333,0.6573333333333333,2.06,3.3233333333333333,7.725666666666666,687.9973333333334,0.0,0.5363333333333333,0.1785357046657047,0.4009727121068372,0.34160031837682286,0.3380491722906968,0.7673333333333333,0.5425286488334676,0.5425286488334676
