scenario,weight_model,base_rate,pity_threshold,carryover,token_threshold,any_target_acquisition_rate,copy_goal_completion_rate,avg_completed_goal_banners,avg_target_obtained_banners,avg_total_copies,avg_total_pulls,pity_activation_rate,token_redemption_rate,avg_wasted_progress,avg_frustration_score,mean_churn_propensity,weighted_churn_propensity,observed_churn_rate,avg_dupe_utility,avg_dupe_gain
A_baseline_hard_pity,equal_weight,0.008,330,False,0,0.708,0.49666666666666665,1.1106666666666667,2.0656666666666665,3.7746666666666666,471.3813333333333,0.034666666666666665,0.0,0.2397820634920635,0.4590811408534466,0.4552486767151986,0.4552486767151985,0.9526666666666667,0.4564625115229951,0.4564625115229951
A_baseline_hard_pity,f2p_heavy,0.008,330,False,0,0.708,0.49666666666666665,1.1106666666666667,2.0656666666666665,3.7746666666666666,471.3813333333333,0.034666666666666665,0.0,0.2397820634920635,0.4590811408534466,0.4552486767151986,0.5766233561366563,0.9526666666666667,0.4564625115229951,0.4564625115229951
A_baseline_hard_pity,spender_focused,0.008,330,False,0,0.708,0.49666666666666665,1.1106666666666667,2.0656666666666665,3.7746666666666666,471.3813333333333,0.034666666666666665,0.0,0.2397820634920635,0.4590811408534466,0.4552486767151986,0.4414431362913813,0.9526666666666667,0.4564625115229951,0.4564625115229951
B_lower_hard_pity,equal_weight,0.008,250,False,0,0.7166666666666667,0.5056666666666667,1.11,2.171,4.152,497.9746666666667,0.138,0.0,0.292959973015873,0.46594320913969295,0.4529858856882159,0.4529858856882159,0.9413333333333334,0.46937593152761914,0.46937593152761914
B_lower_hard_pity,f2p_heavy,0.008,250,False,0,0.7166666666666667,0.5056666666666667,1.11,2.171,4.152,497.9746666666667,0.138,0.0,0.292959973015873,0.46594320913969295,0.4529858856882159,0.5893208593840712,0.9413333333333334,0.46937593152761914,0.46937593152761914
B_lower_hard_pity,spender_focused,0.008,250,False,0,0.7166666666666667,0.5056666666666667,1.11,2.171,4.152,497.9746666666667,0.138,0.0,0.292959973015873,0.46594320913969295,0.4529858856882159,0.44314236020752956,0.9413333333333334,0.46937593152761914,0.46937593152761914
C_improved_base_rate,equal_weight,0.012,330,False,0,0.8173333333333334,0.7176666666666667,2.232,3.173,6.8036666666666665,568.7493333333333,0.015666666666666666,0.0,0.1678964526214526,0.3633721989075112,0.3390805968057274,0.3390805968057274,0.854,0.6051494786087511,0.6051494786087511
C_improved_base_rate,f2p_heavy,0.012,330,False,0,0.8173333333333334,0.7176666666666667,2.232,3.173,6.8036666666666665,568.7493333333333,0.015666666666666666,0.0,0.1678964526214526,0.3633721989075112,0.3390805968057274,0.47263441693803976,0.854,0.6051494786087511,0.6051494786087511
C_improved_base_rate,spender_focused,0.012,330,False,0,0.8173333333333334,0.7176666666666667,2.232,3.173,6.8036666666666665,568.7493333333333,0.015666666666666666,0.0,0.1678964526214526,0.3633721989075112,0.3390805968057274,0.30970608299935254,0.854,0.6051494786087511,0.6051494786087511
D_carryover_pity,equal_weight,0.008,330,True,0,0.733,0.567,1.3373333333333333,2.6216666666666666,5.078666666666667,610.47,0.169,0.0,0.0,0.41003979520958744,0.365507323138002,0.36550732313800194,0.885,0.4749638474060894,0.4749638474060894
D_carryover_pity,f2p_heavy,0.008,330,True,0,0.733,0.567,1.3373333333333333,2.6216666666666666,5.078666666666667,610.47,0.169,0.0,0.0,0.41003979520958744,0.365507323138002,0.5151199719029856,0.885,0.4749638474060894,0.4749638474060894
D_carryover_pity,spender_focused,0.008,330,True,0,0.733,0.567,1.3373333333333333,2.6216666666666666,5.078666666666667,610.47,0.169,0.0,0.0,0.41003979520958744,0.365507323138002,0.35110643338066605,0.885,0.4749638474060894,0.4749638474060894
E_token_spark_250,equal_weight,0.008,330,False,250,0.7473333333333333,0.66,2.0606666666666666,3.316,7.551333333333333,673.4553333333333,0.0,0.5386666666666666,0.17686405002405,0.3982320881295519,0.3349698060804617,0.33496980608046173,0.7756666666666666,0.5496254748809986,0.5496254748809986
E_token_spark_250,f2p_heavy,0.008,330,False,250,0.7473333333333333,0.66,2.0606666666666666,3.316,7.551333333333333,673.4553333333333,0.0,0.5386666666666666,0.17686405002405,0.3982320881295519,0.3349698060804617,0.5120170598502982,0.7756666666666666,0.5496254748809986,0.5496254748809986
E_token_spark_250,spender_focused,0.008,330,False,250,0.7473333333333333,0.66,2.0606666666666666,3.316,7.551333333333333,673.4553333333333,0.0,0.5386666666666666,0.17686405002405,0.3982320881295519,0.3349698060804617,0.32278528694797093,0.7756666666666666,0.5496254748809986,0.5496254748809986
