scenario,weight_model,base_rate,pity_threshold,carryover,token_threshold,any_target_acquisition_rate,copy_goal_completion_rate,avg_completed_goal_banners,avg_target_obtained_banners,avg_total_copies,avg_total_pulls,pity_activation_rate,token_redemption_rate,avg_wasted_progress,avg_frustration_score,mean_churn_propensity,weighted_churn_propensity,observed_churn_rate,avg_dupe_utility,avg_dupe_gain,sensitivity_type,copy_goal_model,banners
sensitivity_copy_goal_completionist_heavy,equal_weight,0.008,330,True,0,0.7575,0.4515,0.783,2.61,5.4915,648.8025,0.1695,0.0,0.0,0.4519261627869342,0.3671773334905121,0.3671773334905122,0.9015,0.45979349675451847,0.45979349675451847,copy_goal_model,completionist_heavy,8
sensitivity_copy_goal_completionist_heavy,f2p_heavy,0.008,330,True,0,0.7575,0.4515,0.783,2.61,5.4915,648.8025,0.1695,0.0,0.0,0.4519261627869342,0.3671773334905121,0.5097434648644235,0.9015,0.45979349675451847,0.45979349675451847,copy_goal_model,completionist_heavy,8
sensitivity_copy_goal_completionist_heavy,spender_focused,0.008,330,True,0,0.7575,0.4515,0.783,2.61,5.4915,648.8025,0.1695,0.0,0.0,0.4519261627869342,0.3671773334905121,0.3601810833374703,0.9015,0.45979349675451847,0.45979349675451847,copy_goal_model,completionist_heavy,8
sensitivity_banners_6,equal_weight,0.008,330,True,0,0.7435,0.578,1.256,2.382,4.471,543.266,0.153,0.0,0.0,0.40358603141015736,0.35638345008654676,0.35638345008654676,0.807,0.48806448520096474,0.48806448520096474,time_horizon,np_aware_mixed,6
sensitivity_banners_6,f2p_heavy,0.008,330,True,0,0.7435,0.578,1.256,2.382,4.471,543.266,0.153,0.0,0.0,0.40358603141015736,0.35638345008654676,0.5116463679868606,0.807,0.48806448520096474,0.48806448520096474,time_horizon,np_aware_mixed,6
sensitivity_banners_6,spender_focused,0.008,330,True,0,0.7435,0.578,1.256,2.382,4.471,543.266,0.153,0.0,0.0,0.40358603141015736,0.35638345008654676,0.3351782424466469,0.807,0.48806448520096474,0.48806448520096474,time_horizon,np_aware_mixed,6
sensitivity_banners_8,equal_weight,0.008,330,True,0,0.734,0.5595,1.3475,2.6015,4.946,601.125,0.1615,0.0,0.0,0.4088441423353485,0.36387796554445423,0.36387796554445423,0.8955,0.47785970255055554,0.47785970255055554,time_horizon,np_aware_mixed,8
sensitivity_banners_8,f2p_heavy,0.008,330,True,0,0.734,0.5595,1.3475,2.6015,4.946,601.125,0.1615,0.0,0.0,0.4088441423353485,0.36387796554445423,0.517606581132036,0.8955,0.47785970255055554,0.47785970255055554,time_horizon,np_aware_mixed,8
sensitivity_banners_8,spender_focused,0.008,330,True,0,0.734,0.5595,1.3475,2.6015,4.946,601.125,0.1615,0.0,0.0,0.4088441423353485,0.36387796554445423,0.3429186075300692,0.8955,0.47785970255055554,0.47785970255055554,time_horizon,np_aware_mixed,8
sensitivity_banners_12,equal_weight,0.008,330,True,0,0.7435,0.5755,1.509,3.06,5.9685,720.6325,0.188,0.0,0.0,0.40941870080889564,0.36226858743849477,0.3622685874384947,0.9455,0.47922845795999114,0.47922845795999114,time_horizon,np_aware_mixed,12
sensitivity_banners_12,f2p_heavy,0.008,330,True,0,0.7435,0.5755,1.509,3.06,5.9685,720.6325,0.188,0.0,0.0,0.40941870080889564,0.36226858743849477,0.5100160320477773,0.9455,0.47922845795999114,0.47922845795999114,time_horizon,np_aware_mixed,12
sensitivity_banners_12,spender_focused,0.008,330,True,0,0.7435,0.5755,1.509,3.06,5.9685,720.6325,0.188,0.0,0.0,0.40941870080889564,0.36226858743849477,0.35078965506139087,0.9455,0.47922845795999114,0.47922845795999114,time_horizon,np_aware_mixed,12
